cell_id,lon,lat,cloud
0,9.05332573246371,49.6162806478926,0.6867
1,9.041011607802108,49.86244980826693,0.6785
2,9.0377279753951,49.90440032316702,0.6767
3,9.03362948656615,49.949063308589146,0.6767
4,9.033577292755249,49.98695533620715,0.6767
5,9.02083040809187,50.04687166014282,0.6767
6,9.016711878726005,50.081759724745304,0.6767
7,9.028234797465911,50.11016579269687,0.6767
8,9.097308714189518,49.5981747590841,0.6867
9,9.096309327459682,49.63054143508744,0.6785
10,9.102661627293635,49.67895009919408,0.6785
11,9.119032172095284,49.70326320102422,0.6785
12,9.11467108694888,49.76843946719082,0.6785
13,9.097176148661172,49.81938807117988,0.6785
14,9.084726948052069,49.85913992875496,0.6785
15,9.0832650302627,49.90364310977723,0.6767
16,9.082406265730585,49.94859752144456,0.6767
17,9.081545483939315,49.99355129625725,0.6767
18,9.080682678076284,50.038504441214435,0.6767
19,9.07981784129757,50.08345696331519,0.6767
20,9.081340242715717,50.1147348117803,0.6767
21,9.159799002417412,49.59520346892125,0.6844
22,9.157575298736692,49.634439438289974,0.6779
23,9.156792760548225,49.679398391866755,0.6779
24,9.161663731902474,49.722728800375606,0.6779
25,9.157176138781644,49.77000254633476,0.6779
26,9.154947609313476,49.81456190388892,0.6779
27,9.153644276019536,49.859227501546314,0.6779
28,9.152852541103403,49.90418313782939,0.6884
29,9.152058948238835,49.949138131665734,0.6884
30,9.151263491158655,49.9940924900593,0.6884
31,9.1504661635668,50.03904622001403,0.6884
32,9.149666959138449,50.08399932853386,0.6884
33,9.149163834833338,50.11345673098604,0.6884
34,9.22351443924788,49.59661684552909,0.6844
35,9.226776313536073,49.63493366784532,0.6779
36,9.226058044280713,49.679893149961195,0.6779
37,9.22533809800244,49.72485195588456,0.6779
38,9.22461646907807,49.76981009262381,0.6779
39,9.223893151858713,49.81476756718733,0.6779
40,9.22316814066984,49.859724386583515,0.6779
41,9.222441429810836,49.90468055782067,0.6884
42,9.2217130135551,49.949636087907166,0.6884
43,9.220982886149782,49.99459098385143,0.6884
44,9.220251041815647,50.03954525266187,0.6884
45,9.219517474747,50.08449890134682,0.6884
46,9.221062752031326,50.12660480903337,0.6984
47,9.265334139332223,49.607622906907345,0.6844
48,9.274525083508228,49.64260394733568,0.6779
49,9.295324570378096,49.68034552665151,0.6779
50,9.291738056521304,49.72337403418238,0.6779
51,9.290533103318117,49.772205667916886,0.6779
52,9.293353400218455,49.81522140071131,0.6779
53,9.292693265541644,49.8601787080676,0.6779
54,9.29203158325483,49.90513536844604,0.6884
55,9.291368348143592,49.95009138885899,0.6884
56,9.290703554969546,49.99504677631888,0.6884
57,9.29003719847042,50.0400015378382,0.6884
58,9.289369273359714,50.0849556804294,0.6884
59,9.287031673755516,50.12478502255012,0.6884
60,9.371011354244338,49.65273353012062,0.6779
61,9.364592227695027,49.68075552076652,0.6779
62,9.36238375257972,49.715418135105445,0.6779
63,9.358655716285767,49.78474028582053,0.6779
64,9.362814791964652,49.81563271519998,0.6779
65,9.36221953789249,49.86059046480978,0.6779
66,9.361622888289157,49.905547568512254,0.6884
67,9.361024838452398,49.95050403332344,0.6884
68,9.360425383658596,49.99545986625941,0.6884
69,9.359824519162323,50.04041507433631,0.6884
70,9.35916594410631,50.085334119591856,0.6884
71,9.351834754899192,50.12104344752164,0.6884
72,9.400599405191327,49.65297922407574,0.676
73,9.404117779883268,49.68840100581559,0.676
74,9.405579749992,49.71163011527056,0.676
75,9.437079280772238,49.785808061216265,0.676
76,9.432277214742378,49.81600150957986,0.676
77,9.431746844965472,49.86095965573258,0.676
78,9.431215231752892,49.905917156937846,0.7028
79,9.43068237091496,49.95087402021502,0.7028
80,9.430148258242616,49.9958302525834,0.7028
81,9.429612889507622,50.04078586106253,0.7028
82,9.428283920103578,50.07777141137865,0.7028
83,9.50957424799669,49.78211331438363,0.676
84,9.501740556183664,49.81632778288847,0.676
85,9.501275073990326,49.861286279869866,0.676
86,9.500808500471944,49.90624413275306,0.7028
87,9.50034083195124,49.95120134856028,0.7028
88,9.499872064734026,49.996157934313864,0.7028
89,9.499402195109154,50.04111389703612,0.7028
90,9.502959593352177,50.08182257240463,0.7028
91,9.523070606020148,50.13150860554836,0.7052
92,9.518629160434378,50.177535708091426,0.7052
93,9.511736885545288,50.21863927687635,0.7052
94,9.496179414912996,50.24436839922121,0.7052
95,9.599581685193638,47.537172452162224,0.6655
96,9.60419974760639,47.564379760151304,0.6655
97,9.617260434369763,47.59365866889387,0.6655
98,9.568029987536312,49.78595571036852,0.676
99,9.571204703908808,49.816611534274195,0.676
100,9.57080411218524,49.861570336366846,0.676
101,9.57040258126043,49.90652849509991,0.7028
102,9.570000107969497,49.951486017498105,0.7028
103,9.569596689133247,49.99644291058631,0.7028
104,9.5691923215578,50.04139918138941,0.7028
105,9.568787002034584,50.08635483693243,0.7028
106,9.568380727340395,50.131309884240515,0.7052
107,9.56797349423704,50.1762643303389,0.7052
108,9.568405801805069,50.21348329979448,0.7052
109,9.655872384665573,47.53610651763345,0.6665
110,9.656506237122777,47.56792491087189,0.6665
111,9.6600134996536,47.60206056232579,0.6665
112,9.644789472513589,49.69854568924563,0.6747
113,9.646399671829505,49.72673578626291,0.6747
114,9.650333086604755,49.773407673376,0.6747
115,9.64066954552795,49.81685276299637,0.6747
116,9.640333846758086,49.86181182448007,0.6747
117,9.639997360922,49.90677024323217,0.6886
118,9.639660085367543,49.95172802627948,0.6886
119,9.639322017430327,49.99668518064901,0.6886
120,9.638983154433872,50.041641713367845,0.6886
121,9.63864349368931,50.08659763146317,0.6886
122,9.638303032495376,50.13155294196227,0.7042
123,9.637961768138528,50.17650765189262,0.7042
124,9.639919983464203,50.218172991327016,0.7042
125,9.661555073511453,50.260522809902774,0.7042
126,9.71100473784882,47.53875056179663,0.6665
127,9.720193754577856,47.56941384858257,0.6665
128,9.723610333124332,47.60393929322042,0.6665
129,9.7222300392818,49.69657119545696,0.6747
130,9.713833166921235,49.7298860405753,0.6747
131,9.710405139585257,49.7720915440302,0.6747
132,9.710134968642487,49.817051468425326,0.6747
133,9.709864164907868,49.86201074357759,0.6747
134,9.7095927262516,49.90696937651549,0.6886
135,9.70932065053418,49.95192737426764,0.6886
136,9.70904793560628,49.9968847438628,0.6886
137,9.708774579308669,50.04184149232984,0.6886
138,9.708500579472306,50.08679762669772,0.6886
139,9.70822593391807,50.131753153995575,0.7042
140,9.70795064045686,50.17670808125261,0.7042
141,9.707674696889544,50.22166241549828,0.7042
142,9.70815125306599,50.266077873307815,0.7042
143,9.730223842020449,50.3022478738076,0.7042
144,9.737403869901572,50.35588090411862,0.7042
145,9.73947487534404,50.390368313066055,0.7118
146,9.791793485671615,47.57980144353583,0.6665
147,9.790078786162969,47.6129502493991,0.6665
148,9.805190536844288,47.64987449255211,0.6764
149,9.81205275122764,49.56250847604887,0.6729
150,9.814121052811537,49.57144649423588,0.6729
151,9.813354044665116,49.670083257917966,0.6747
152,9.780902159049012,49.73471948380473,0.6747
153,9.77980628671644,49.77224755810842,0.6747
154,9.77960086084629,49.81720765004245,0.6747
155,9.779394953826133,49.862167093138765,0.6747
156,9.779188564036598,49.90712589442731,0.6886
157,9.778981689850823,49.95208406093809,0.6886
158,9.778774329634514,49.997041599701205,0.6886
159,9.778566481745894,50.04199851774695,0.6886
160,9.778358144535678,50.086954822105675,0.6886
161,9.778149316346918,50.131910519807946,0.7042
162,9.777939995515132,50.17686561788444,0.7042
163,9.77773018036812,50.22182012336592,0.7042
164,9.777519869225989,50.26677404328347,0.7042
165,9.777309060401072,50.311727384668224,0.7042
166,9.777097752197932,50.356680154551555,0.7042
167,9.77561088645083,50.39909770937174,0.7118
168,9.8721052413606,47.54206636752425,0.6665
169,9.856550989696098,47.56901554948309,0.6665
170,9.855593451560852,47.61337033795032,0.6665
171,9.85562724486936,47.658260344492824,0.6764
172,9.85902083000146,47.68336526805573,0.6764
173,9.836739603551717,49.562214466250545,0.6729
174,9.85663892855907,49.589962220045614,0.6729
175,9.86228881189696,49.64095374116875,0.6747
176,9.851321564222696,49.68205542947898,0.6747
177,9.849425762780252,49.72744942802701,0.6747
178,9.849207789253862,49.772361093582795,0.6747
179,9.84906710972738,49.81732130744004,0.6747
180,9.848926100698566,49.8622808727544,0.6747
181,9.848784761058392,49.907239796556894,0.6886
182,9.84864308969274,49.952198085878514,0.6886
